,Course Title,Course Name,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Year,Semester,Total
21,AFRIKAAN 101BR,Advanced Afrikaans II,African & African Amer Studies,"Mugane,John M",7,0,0,0,0,0,0,2020,Spring,7
22,AFRIKAAN AB,Elementary Afrikaans,African & African Amer Studies,"Mugane,John M",19,0,0,0,0,0,0,2020,Spring,19
23,AFRIKAAN BB,Intermediate Afrikaans,African & African Amer Studies,"Mugane,John M",13,0,0,0,0,0,0,2020,Spring,13
66,AKKAD 147,Wisdom Literature,Near Eastern Languages & Civ,"Machinist,Peter B",0,4,0,0,0,0,0,2020,Spring,4
67,AKKAD 157,Introduction to Old Assyrian,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,2,0,0,0,0,0,2020,Spring,2
68,AKKAD 159,Middle Babylonian,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,5,0,0,0,0,0,2020,Spring,5
69,AKKAD AB,Introductory Akkadian II,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,3,0,0,0,0,0,2020,Spring,4
70,AMHARIC 101BR,Advanced Amharic II,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2020,Spring,2
71,AMHARIC AB,Elementary Amharic,African & African Amer Studies,"Mugane,John M",3,1,0,1,0,0,0,2020,Spring,5
72,AMHARIC BB,Intermediate Amharic,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2020,Spring,2
205,ARABIC 130B,Upper-Level Classical Arabic 2,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",0,1,0,0,0,0,0,2020,Spring,1
206,ARABIC 131B,Upper-Level Modern Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",9,4,0,0,0,0,0,2020,Spring,13
207,ARABIC 131B,Upper-Level Modern Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",10,1,0,2,0,0,0,2020,Spring,13
208,ARABIC 241BR,Advanced Modern Arabic Bridge,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",2,5,0,1,0,0,0,2020,Spring,8
209,ARABIC 242BR,Mod Arabic Poetry,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",2,1,0,0,0,0,0,2020,Spring,3
210,ARABIC 243DR,Classical Arabic Bridge IV,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",0,5,0,3,0,0,0,2020,Spring,8
211,ARABIC 249R,Arabic Philosophical Texts,Near Eastern Languages & Civ,"El-Rouayheb,Khaled",2,3,0,1,0,0,0,2020,Spring,6
212,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",11,0,0,0,0,0,0,2020,Spring,11
213,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",4,0,0,1,0,0,0,2020,Spring,5
214,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",11,3,0,0,0,0,0,2020,Spring,14
215,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",9,0,0,1,0,0,0,2020,Spring,10
216,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",3,0,0,3,0,0,0,2020,Spring,6
217,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",4,4,1,1,0,0,0,2020,Spring,10
218,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",13,1,0,0,0,0,0,2020,Spring,14
219,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",5,1,0,0,0,0,0,2020,Spring,6
